微博正文,情感分析结果
王冰冰超话搬运冰冰姐xhs同步更新啦但是放了和wb不一样的图这状态太好啦～～～,负面
王冰冰超话冰冰微博配图xhs配图无水印版,负面
王冰冰超话有没有宝宝知道这是哪家咖啡店想去打卡,正面
#央视AI版周处除三害#这AI小撒比小撒的头还小，这AI王冰冰比王冰冰的头还大,负面
坏了，忘了看直播了王冰冰超话,负面
王冰冰超话华为展会抓住尾声小看了几分钟，随手截了一下下@吃花椒的喵酱,负面
王冰冰超话阿冰，你告诉我这是录播对吧,正面
因聚而生，数智有为。3月26日10:00，华为中国合作伙伴大会2024，王冰冰带你认识身边的“数智化伙伴”，一起踏入一个数智交融的奇妙世界，超30000平米展区惊艳亮相，综合区、行业区、产业区三大展区，全方位展示“伙伴+华为”体系助力客户数智化升级的创新产品与方案，释放数智化新价值。华为中国政企CMO邱恒亲自导览，与各行各业的数智化伙伴邂逅，数智世界，一触即达，探索数智世界的无限精彩。央视频的微博直播,正面
去年的冰冰对镜戳给戳歪了，到今年就已经戳的很熟练了哈哈哈哈哈哈王冰冰超话,正面
王冰冰超话大佬～,正面
✿你好生活第3季✿撒贝宁✿尼格买提✿王冰冰被要求素颜录节目撒贝宁：我从来都不化妆的L超爱的无敌冰雪碧的微博视频,正面
起猛了，看见央视主持人王冰冰和蒋敦豪开上拖拉机了！“冰敦敦”组合带你花式体验“新农人”生活，一起来北纬47°黄金奶源，探索@飞鹤更适合中国宝宝体质的“秘密”！#源来有答案##王冰冰蒋敦豪冰敦敦组合#,正面
#戴眼镜的王冰冰好a#戴眼镜的王冰冰每天一遍，忘记初恋~#微博VC计划#Lcblgffshyh的微博视频,负面
王冰冰超话。,负面
王冰冰自信答题惊呆#撒贝宁#L娱你看不停的微博视频,正面
王冰冰超话差一点成了老六晚安吖,负面
王冰冰超话【晚安】,正面
王冰冰超话不抢第一了，晚安,负面
王冰冰超话嗯，今天，嗯，没什么大事她上实验课没带铅笔，就借我的嘛，也说了不多的几句话，不过比以前上实验课多她把手肘放在桌子上，手伸过来，就在我面前，真的好想把手给她由于她没带的东西比较多，我就把那些东西给她拿近，并没有选择递,正面
王冰冰超话王冰冰超话晚安我的家人们明天要开运动会呜呜呜,负面
王冰冰超话可爱壁纸,负面
王冰冰超话我就是xhz晚安～,正面
✿你好生活第3季你家都有哪些节约粮食的家规呢？✿王冰冰✿撒贝宁✿搞笑✿娱乐评论大赏L超爱的无敌冰雪碧的微博视频,正面
王冰冰超话冰冰姐最近的照片好多啊，壁纸都来不及换了怎么办？,负面
一起培训的妹妹说我笑起来像王冰冰乐坏了,负面
✿你好生活第3季✿撒贝宁：一开始我还真信了！✿王冰冰✿尼格买提✿搞笑✿娱乐评论大赏L超爱的无敌冰雪碧的微博视频,正面
#热门话题创作激励计划##微博VC计划##王冰冰#徐嘉余也太甜了吧#王冰冰徐嘉余旧糖#王冰冰徐嘉余官宣恋情L_山河故里_的微博视频,负面
#宗庆后##娃哈哈#娃哈哈的596高地王冰冰还注意到娃哈哈纯净水标签上的净含量标注为596ml，而非通常的整数。她好奇地询问这是否有什么特殊意义。宗庆后的回答则展现了他的诚信经营理念。宗庆后向王冰冰解释道：“当时想做600ml的，但是生产出来发现只有596ml，多少就是多少，我们不能欺骗消费者。”,负面
姐姐，王冰冰姐姐,正面
王冰冰壁纸照超话,负面
王冰冰超话啊啊啊，历时三年半，我终于14级了！我要豹王冰冰～,正面
王冰冰超话晚安,正面
王冰冰超话我成为王冰冰超话超FUN啦发帖纪念一下~,负面
“生死是多么狭隘，唯有你我是永恒”#王冰冰#王冰冰超话L_小張乏了的微博视频,正面
姐姐，王冰冰姐姐,正面
王冰冰超话冰冰姐今天化身“田螺姑娘”，捡田螺的喵酱，做田螺的喵酱以及吃田螺的喵酱，截图我来发，希望大家喜欢,正面
王冰冰超话奶呼呼,正面
昨晚上和朋友吃个饭，朋友盯着我半天问我身上风衣是不是王冰冰同款，我寻思了半天没听说这男装品牌还有女装业务线啊，然后朋友翻了翻手机找出来一张王冰冰的照片，我一瞅还真是同款，就颜色不一样，幸亏我对冰冰无感，要不然可能会被当成情敌干掉。这时候就想起来前两年我给几个关系不错的女性朋友推的男装衬衣广受好评的故事了。谁不喜欢中性风漂亮妹妹呢。,正面
#3·5学雷锋纪念日#三月春风处处暖，雷锋日伴随惊蛰天悄然而至。雷锋精神如火种那般，传递着春天的温暖在这个风华正茂的年纪，当由我们承雷锋精神让我们一起向雷锋学习，发扬钉子精神（编辑：王冰冰审核：黄怡博）（图源网络/侵删）,正面
王冰冰吃什么呢，舌头都伸出来了,负面
@吃花椒的喵酱总台主持人王冰冰主持央视频车载版发布仪式@央视频#北京车展#,正面
王冰冰超话正在直播中，大家移步ysp观看～,正面
#五一好好玩#央视团队来延边拍摄！尼格买提、月亮姐姐、王冰冰、杨帆、徐梦桃、武大靖花式打卡延边大学！L悠游吉林的微博视频,正面
王冰冰超话,负面
是谁还没有见到王冰冰笑起来真的很好看,正面
央视王冰冰超话,负面
王冰冰超话早安我的意中人是一个盖世英雄。上天既然安排她拔出我的紫青宝剑，她一定是个不平凡的人，错不了！我知道有一天她会在一个万众瞩目的情况下出现，身披粉色圣衣，脚踏七彩祥云来救我@吃花椒的喵酱,正面
尼格买提、月亮姐姐、王冰冰、武大靖等明星组队打卡吉林延边！（吉林发布）L吉视频的微博视频,正面
王冰冰超话不想上班啊,负面
#王冰冰托脸自拍#她的托脸自拍，总是那么治愈。希望这个冬天，真的就如王冰冰所说，到此为止，迎接新的开始吧！#王冰冰说这个冬天就过到这吧#,负面
#王冰冰托脸自拍#看她托脸自拍，仿佛看到了春天的希望。愿这个冬天，就如她所说，到此为止，让春天的温暖拥抱每一个人。#王冰冰说这个冬天就过到这吧#,正面
#王冰冰托脸自拍#王冰冰的托脸自拍，让人感受到了生活的甜蜜。希望这个冬天，真的就如她所说，结束在这里，让春天的风儿吹走一切寒冷。#王冰冰说这个冬天就过到这吧#,负面
#王冰冰托脸自拍#她的托脸自拍，仿佛带着一丝春天的气息。愿这个冬天，如她所愿，就此结束，让春天的阳光照亮前行的路。#王冰冰说这个冬天就过到这吧#,正面
#王冰冰托脸自拍#王冰冰的托脸自拍，总是那么引人入胜。希望这个冬天，真的就如她所说，结束在这里，让春天的花朵绽放得更加绚烂。#王冰冰说这个冬天就过到这吧#,负面
#王冰冰托脸自拍#看她托脸自拍，仿佛感受到了春天的气息。愿这个冬天，就如她所说，到此为止，让春天的色彩点亮世界。#王冰冰说这个冬天就过到这吧#,正面
#王冰冰托脸自拍#王冰冰的托脸自拍，充满了生活的美好。希望这个冬天，真的就如她所说，结束在这里，让春天的故事继续书写。#王冰冰说这个冬天就过到这吧#,负面
#王冰冰托脸自拍#她的托脸自拍，仿佛带着温暖的力量。愿这个冬天，如她所愿，就此结束，让春天的气息弥漫在空气中。#王冰冰说这个冬天就过到这吧#,正面
#王冰冰托脸自拍#王冰冰的托脸自拍，总是那么让人心情愉悦。希望这个冬天，真的就如她所说，结束在这里，让春天的脚步更近一些。#王冰冰说这个冬天就过到这吧#,负面
#王冰冰托脸自拍#看她托脸自拍，仿佛时间都静止了。愿这个冬天，就如她所说，到此为止，让春天的阳光温暖每一个角落。#王冰冰说这个冬天就过到这吧#,负面
王冰冰超话晚安💤,负面
王冰冰超话小消息一则临休息前，我发现ysp把文件夹建好了！《冰冰有礼了》终于要成行啦，大家可以关注一下，方便后续接收相关消息！另外，这档节目宗旨：探访青年热点人物，通过真是记录和深度对话，深入剖析当代青年的内心世界，成长经历，艺术追求和生活态度，传播青春正能量！,正面
王冰冰超话刚刚好像没发进来再发一次冰冰美图，原图来自摄影师dy号：88315652731（北岛）（摄影师xhs也叫北岛，作品在两个号都有发布）前4张是原作提高清晰度后面7张是自己尝试调了调色,负面
王冰冰超话晚上好,负面
王冰冰超话9:16的来了，大家晚安！图源鸡爪,正面
王冰冰超话今日水√三张壁纸分辨率：2880x6400px,负面
王冰冰超话高马尾冰,正面
不是王冰冰你咋啥节目都要掺和一下啊？是不是到时候又要说把你绑上“贼船”了？,负面
冰冰！冰冰！王冰冰超话,负面
王冰冰超话我列个骚刚现在怎么越来越多lkun,负面
王冰冰超话。,负面
王冰冰超话晚安大家，晚安冰冰,负面
王冰冰超话v我50,负面
王冰冰超话我要当xhz晚安～,正面
王冰冰超话把所有的温柔和可爱都设置成了仅你可见。,正面
王冰冰超话在线征集冰冰美图,负面
王冰冰超话胡萝卜炒尖椒,负面
哦还有王冰冰老师所以我的哥你啥时候来,正面
网上所有关于王冰冰的谣言都是别有用心的人对王冰冰的造谣抹黑诽谤，请大家保持理智不要轻易听信谣言。祝福王冰冰事业顺利、大红大紫、家喻户晓、鸿运长存、逢凶化吉，也祝福王冰冰和家人幸福好运安康美满。,正面
王冰冰超话#王冰冰#我喜欢夏天的可乐，冬天的草莓，还有一年四季的你@吃花椒的喵酱,负面
王冰冰超话可是，可是，我好像要有女朋友了。我要是以后继续成天看冰冰，我女朋友（如果成了）她会不会吃醋emmmm。。,负面
王冰冰超话今天运动会选拔，第3，只要明天选拔的人没有超过我的，我就可以参加学校运动会了,负面
王冰冰超话今日份照片适合夏日冰,正面
#徐嘉余冠军#让王冰冰去解说！,正面
王冰冰超话ok兄弟们，全体目光向我看齐啊，看我看我，我宣布个事，我就是xhz!!没毛病嗷晚安～,负面
王冰冰超话温柔到甜美到有气场，再到……上吊？！,正面
王冰冰超话今日水√三张壁纸这三张图原图都有点偏色，重新调个色不过不得不说，偏色真的很难调，只能这样了,负面
王冰冰超话氵一条,负面
王冰冰超话今天我一打开微博，突然一道强光差点闪瞎了我的眼睛，到现在还没恢复过来，大家麻烦帮我看下这道光是不是从我头像边上发出来的，谢谢。,负面
王冰冰超话水一把，已经半年没有签到过了，从今天开始，我要天天签到，此贴为证,负面
王冰冰超话今天冰冰会更新vlog,负面
王冰冰超话#早安##早安心语#🌞“心存阳光，必有诗和远方，带着三月的未完成，在四月奔跑起来，愿所有的美好都能如期而至。”早安！（via:QQ每日打卡——2024年4月1日）#我的大学生活##生活正能量打卡##四月的第一天#,正面
王冰冰都这样觉得更何况我呢（凌晨还在抄学习笔记的我,正面
王冰冰超话每一次努力，都是幸运的伏笔，每天都是好时光，不容浪费，三月再见，四月你好。晚安大家，晚安冰冰,正面
王冰冰超话四月，水则忙于搬运，把烟柳垂影卸在邮局。鱼在更低处的水草里躲雨，散布的卵石，正模仿着平静的雪。蔷薇织锦，锦鳞嚼浪，酥雨润湿油纸伞，茶楼指点白鹭依稀，瓷盏卷叶展旗，洞庭泊梨雪，我与我相逢，又跋涉新的旅途。@吃花椒的喵酱,负面
王冰冰超话都是怪物是吧，卡点连前三都进不了,正面
王冰冰超话四月快乐！,正面
王冰冰超话正好第八条,正面
pek超话出愚人节机场活动旧图部分有的活动无口罩上下班陈牧驰黄子弘凡文俊辉李克勤蔡文静焉栩嘉何洛洛于朦胧周深苏醒王铮亮陆虎张远侯雯元辛芷蕾（春晚酒店带妆王阳黄轩汪苏泷刘宇宁少量）曹恩齐玲花王星越白敬亭秦岚单依纯赵让林一刘浩存张翰肖宇梁陈星旭陈立农陈数金晨周柯宇张婧仪甘望星任子威王安宇王鹤棣许凯段奥娟俞灏明赵露思曾毅许汉光余景天夏之光刘惜君魏大勋王冰冰陈永胜付辛博阿娇赵又廷哈妮克孜宋轶王凯倪妮江疏影尹正贾静雯谢锐韬tt早安吴磊万鹏关晓彤罗一舟二辰周九良机场出发到达图频活动上下班图无口罩部分,正面
【#奋斗者号如何从地球第四极平安回来#】踏上深海探秘的旅程，来到人迹罕至的“地球第四极”，“奋斗者”号如何在一片指甲盖大小的面积上承受一辆小汽车的重量，又如何克服巨大压力，从万米深海平安归来？#纪录片奇妙中国第二季#正在CCTV-9、央视频、央视网播出，和王冰冰一起探索万米深海的奥秘。,正面
【#奋斗者号如何从地球第四极平安回来#】踏上深海探秘的旅程，来到人迹罕至的“地球第四极”，“奋斗者”号如何在一片指甲盖大小的面积上承受一辆小汽车的重量，又如何克服巨大压力，从万米深海平安归来？#纪录片奇妙中国第二季#正在CCTV-9、央视频、央视网播出，和王冰冰一起探索万米深海的奥秘。,正面
王冰冰超话三月份即将过去了，这一个月冰冰姐的行程也是满满当当，从月初到月末，很努力的在工作呀；四月继续加油@吃花椒的喵酱,正面
王冰冰超话别人问我喜欢什么样的女孩子，我又要开始形容你了。,负面
王冰冰超话和三月说再见,正面
摸到了王冰冰老师同款！#冰冰同款##王冰冰同款技能#,负面
主持人尹颂超话华夏衣冠承载着千年的记忆，当十二金钗华服重现，央视频#卡萨帝洗衣机##霓裳时光秀#，与王冰冰@吃花椒的喵酱@尹颂一起，感受红楼华服大秀，体验卡萨帝养护空气洗除皱亮色黑科技，点击回放，精彩重现！#原创一体嵌入衣装分区养护#L央视频的微博视频,正面
王冰冰超话早安！今天考试，祝我成功上岸！,正面
王冰冰超话渐热地入春，晨曦照满了雪山，往以时日，算清澈雾开般看见了半山腰的样子。就像现在自我既定的目标并不明确，却依旧被逼地很紧，依旧忙碌。好像不像以前那么怠慢了，可能还是受了点影响，不算强烈，但还是很契合每一天循序渐进的过程。大概因为你在，想像你一样拥抱同样的梦。希望三月的末尾，丢掉一些前些日子的霉运与不快，但还是很想合着期待你的新一天，即使故事还在继续，但先就这样吧。,正面
【王冰冰喊你来看#纪录片奇妙中国第二季#！】科技想象触达未来之境，跟随王冰冰@吃花椒的喵酱搭乘“奇妙中国”号列车，一起去探索科技童话的奇与妙，感受科技创新带来的加速度。3月30日-4月8日，锁定CCTV-9、央视频、央视网，#跟着王冰冰一起漫游奇妙中国#。LCCTV纪录的微博视频,正面
王冰冰超话刺骨寒风中唯有你是照旧的温暖ʚ๑'~'๑ɞ,正面
王冰冰超话给你们看看我们这的天空,正面
股评王冰冰买的高端装备是跌了的，买板块，要告诉别人策略，比如跌到哪里止损，要么就是买历史最低估的。除非买后就是涨的。,负面
【预告来袭！#AI共创看奇妙中国里的新质生产力#】#奇妙中国把科技美学狠狠拿捏了#从万里长空到深海之极，从有形之器到无形之气，跟随镜头，看童话视角如何觅寻科技的千变万化。3月30日-4月8日，锁定CCTV-9、央视频、央视网，穿越想象的边界，和王冰冰共赴#纪录片奇妙中国第二季#的奇妙之旅，聆听科技脉搏跳动的声音。L央视网快看的微博视频,正面
#科技报国#【预告来袭！#AI共创看奇妙中国里的新质生产力#】#奇妙中国把科技美学狠狠拿捏了#从万里长空到深海之极，从有形之器到无形之气，跟随镜头，看童话视角如何觅寻科技的千变万化。3月30日-4月8日，锁定CCTV-9、央视频、央视网，穿越想象的边界，和王冰冰共赴#纪录片奇妙中国第二季#的奇妙之旅L央视网快看的微博视频,正面
【预告来袭！#AI共创看奇妙中国里的新质生产力#】#奇妙中国把科技美学狠狠拿捏了#从万里长空到深海之极，从有形之器到无形之气，跟随镜头，看童话视角如何觅寻科技的千变万化。3月30日-4月8日，锁定CCTV-9、央视频、央视网，穿越想象的边界，和王冰冰共赴#纪录片奇妙中国第二季#的奇妙之旅，聆听科技脉搏跳动的声音。L央视网快看的微博视频,正面
【预告来袭！#AI共创看奇妙中国里的新质生产力#】#奇妙中国把科技美学狠狠拿捏了#从万里长空到深海之极，从有形之器到无形之气，跟随镜头，看童话视角如何觅寻科技的千变万化。3月30日-4月8日，锁定CCTV-9、央视频、央视网，穿越想象的边界，和王冰冰共赴#纪录片奇妙中国第二季#的奇妙之旅，聆听科技脉搏跳动的声音。L央视网快看的微博视频,正面
王冰冰超话今天北京有沙尘暴，注意关好门窗少出门，外出记得戴口罩@吃花椒的喵酱,正面
梦见和一号去迪士尼了，玩的不太好，梦里的迪士尼小小的，跟庙会似的，挺简陋。梦见玲娜贝儿和星黛露。还梦见，王冰冰扮演的奇奇。我还跟他聊天了。后来我们好像是发现了什么，就有人要把我们抓起来，在我快要进车里的时候，我发现我想喊喊不出来。我意识到这是梦，我就使劲儿醒了。不过呢说是醒了，但是还在梦境里面。就像剧组散场了一样，抓我的人不抓了，大家都去做自己的事情了，和我也没有交流了。不过来了一个很高的男生，长得也还行，是开小卖部的，就是卖零食的，他好像要都搬空，东西可以随便拿。他拉着我走到他店门口我就进去拿。人不少，我们还抢呢，我还开了个鸭蛋吃。,负面
冰冰新图，可爱瞬间，无水印，九宫格王冰冰超话,负面
王冰冰超话大家早安~比起永远希望我们更喜欢每个今天✌🏻,正面
王冰冰超话。,负面
一天不看王冰冰就活不下去,负面
王冰冰超话好久没抢第一了时隔多日的冠军,正面
#央视AI版周处除三害#啊这，央视频是真的吗？开头这是撒贝宁和王冰冰吧？,负面
#央视AI版周处除三害#这脸不是王冰冰和撒贝宁么,负面
感谢修图，拿走收藏了@哎哟哥哥在三年二班王冰冰超话,正面
#阿楠的dailydiary#盘点一下这些年我被人说过的长得像xxx王冰冰谭松韵裴露娜战鹰陈妍希还有两个网红没记住叫啥以及各种花式撞脸,正面
这些传统媒体的视频语言真的要革新了，记者一个大头处在镜头前面，一堆套话，节奏慢，信息量低，你是王冰冰还能赏心悦目，但目的是展示产品啊。在电视台时代，这么弄可以理解，因为观众不会转台。在短视频时代，5秒钟不进入正题，直接就被人关了。我看很多央媒，传统媒体，都有这个毛病，这些人真要多刷刷抖音，更新自己对网络短视频的节奏感。L21世纪经济报道的微博视频,正面
王冰冰超话冰冰，我出息了，看到雪山了,负面
王冰冰超话冰冰真的好适合古风，氛围感一下就出来了#古风#LGD鹿小康的微博视频,正面
王冰冰超话成熟的冰要学会独立，早安～,正面
王冰冰超话氵,负面
#王冰冰#这种娃娃脸好显老啊同款娃娃脸，30+了肉兜不住,负面
王冰冰超话今天没卡好点,负面
王冰冰超话晚安大家，晚安冰冰,负面
王冰冰超话明天5000米选拔，好慌,负面
王冰冰超话嗯……今天想不出来说什么废话了，直接晚安，大家晚安,负面
王冰冰超话我跟冰冰都是istj诶,负面
王冰冰超话大家晚好冰冰终于学会发视频了那么我宣布奶凶的冰宝最可爱不笑的冰宝yyds不接受任何反驳,正面
王冰冰超话冰冰小🍠视频截修算了还是换掉吧,负面
“记得运动！”#王冰冰#王冰冰超话,负面
王冰冰超话大家晚上好冰冰xhs视频截修截到图总共12张前6张是创意玩法（补了两张图）,负面
王冰冰超话,负面
王冰冰超话搬运冰冰姐xhs更新啦虽然只是38s的短视频，但是也算是更新啦希望大家平常多给冰冰姐时间，等她空闲下来会更新社交媒体哒Lsym诗宇末的微博视频,负面
王冰冰超话大家晚上好冰冰最新xhs配图前四张原图去水印，后七张自己调了调色所有图片调整画幅并提高清晰度（补了三张图p6~p8，没用滤镜，个人感觉能自然一点）,负面
王冰冰超话仙女下凡无水印版,负面
王冰冰超话没画完，感觉有那么点意思，画完了大概率就彻底毁了。,负面
王冰冰超话无水印版,负面
王冰冰超话搬运冰冰姐xhs更新了再次分享她自己的穿搭经验，大家可以学起来～,负面
王冰冰超话大家晚上好冰冰更新啦。,负面
王冰冰超话几张路拍来源:小🍠智燕님,正面
王冰冰超话一张壁纸来源：小🍠徐梦桃,负面
王冰冰超话两年了，一切都在变，连我自己也在变，唯独爱你的心永不变！这条文案先留着，等到1000天的时候，我再来个与众不同的，我自己先走波期待，无限憧憬着那一天！,正面
王冰冰超话今天报了运动会5千米这周日选拔，祝我成功吧,负面
终于找到了我和美女的一些共同点！四舍五入我就是美女了！！#王冰冰#微博VC计划#L刘子微_的微博视频,负面
王冰冰超话不知道该说啥废话了，冰冰真好看对吧晚安～,负面
王冰冰超话大家周末愉快，晚安，图源：三姨妈,负面
王冰冰给画的妆，小玉给拍的照喜欢喜欢,正面
王冰冰超话谷雨春光晓，山川黛色青。叶间鸣戴胜，泽水长浮萍。暖屋生蚕蚁，喧风引麦葶。鸣鸠徒拂羽，信矣不堪听。,正面
王冰冰超话谷雨篇壁纸上新啦谷雨过后再无寒，人间芳菲已向暖，在最后一抹春色中，开启下一个美好时节的序章,正面
王冰冰超话再来一些官方发的图，画面在节目中都出现了，不过有一个好处，没有水印,负面
【落花≠伤感！#王冰冰用押花留住滨江春色#】花谢总会让人伤感，怎样才能长久地记录下鲜花盛开时的样子？王冰冰制作押花团扇，记录下滨江的灿烂春色！关注#国之大雅二十四节气#之谷雨篇→O网页链接学习押花新技能！（央视频号：国之大雅）L央视频的微博视频,正面
王冰冰超话微雨众卉新，一雷惊蛰始。早安冰冰！早安各位！周二愉快！,负面
王冰冰超话大家早上好，ysp放图两张，搬运过来,负面
王冰冰超话,负面
央视王冰冰超话🧊🧊工作记录来了，时隔三月再度更新，12月1月比较平淡，2月节目丰富多彩。希望能看到新节目的出现。ps以后还会不定期更新这个系列,负面
雪豹吃雪糕，惬意又逍遥总台豹豹给月亮姐姐、王冰冰、孙雨朦、孙雨彤分享年份原浆古20#马迭尔冰棍#，吃了古20，天天好心情！春晚等着你，咱们“吃酒”去！#过龙年喝古井看春晚##带上古井过龙年#古井贡酒年份原浆官方微博,正面
 王冰冰 终于要回来了..美女请狠狠搞事业.. 明星娱乐综艺搞笑吐槽#优质博文上热搜开放计划#L糕冷小宝y的微博视频,负面
一切都只需要一句毫无依据的谣言…#王冰冰#无语#女性#离谱#真相#微博VC计划#L娱乐转转乐的微博视频,负面
王冰冰超话我成为王冰冰超话超FUN啦发帖纪念一下~,负面
王冰冰壁纸照超话,负面
王冰冰超话终于拿下第一，冰冰晚安，大家晚安,负面
尼格买提、月亮姐姐、王冰冰、武大靖等明星组队打卡吉林延边！L吉视频的微博视频,正面
我在王冰冰超话等级达到LV.13，获得冰天雪地头衔，小伙伴们快来加入超话一起聊聊吧！超话传送门→王冰冰超话,负面
哎呦，不错哦！我在王冰冰超话荣升LV.8等级，获得了冰清玉洁头衔！想和我一样晋级么？~想知道就来王冰冰超话跟我聊聊吧~,负面
王冰冰超话晚安💤,负面
#王冰冰托脸自拍#王冰冰的托脸自拍，充满了青春的气息。希望这个冬天，真的就如她所说，结束在这里，迎接新的希望和梦想。#王冰冰说这个冬天就过到这吧#,正面
#王冰冰托脸自拍#她的托脸自拍，仿佛带着魔力。愿这个冬天，如她所愿，就此结束，让春天的微风带来新的生机。#王冰冰说这个冬天就过到这吧#,负面
#王冰冰托脸自拍#王冰冰的托脸自拍，总是那么让人心动。希望这个冬天，真的就如她所说，到此结束，让春天的花朵盛开。#王冰冰说这个冬天就过到这吧#,负面
#王冰冰托脸自拍#看她托脸自拍，仿佛整个世界都变得温柔了。愿这个冬天，就如她所说，到此为止，迎接新的希望和美好。#王冰冰说这个冬天就过到这吧#,负面
#王冰冰托脸自拍#王冰冰的托脸自拍，尽显她的甜美与清纯。希望这个冬天，真的就如她所说，结束在这里，迎接新的开始。#王冰冰说这个冬天就过到这吧#,负面
#王冰冰托脸自拍#她的托脸自拍，总是那么迷人。愿这个冬天，如她所愿，就此别过，让春天的阳光洒满大地。#王冰冰说这个冬天就过到这吧#,负面
#王冰冰托脸自拍#王冰冰的托脸自拍，展现了她可爱的一面。希望这个冬天，真的就如她所说，到此结束，开启新的篇章。#王冰冰说这个冬天就过到这吧#,负面
#王冰冰托脸自拍#看她托脸自拍，心情都变好了。这个冬天，或许真的可以如她所说，到此为止，迎接新的希望和机遇。#王冰冰说这个冬天就过到这吧#,负面
#王冰冰托脸自拍#王冰冰的托脸自拍，展现出她的独特魅力。愿这个冬天如她所愿，画上完美的句号，迎接更加明媚的春天。#王冰冰说这个冬天就过到这吧#,正面
#王冰冰托脸自拍#她的托脸自拍，总是那么治愈。希望这个冬天，真的就如王冰冰所说，到此为止，迎接新的开始吧！#王冰冰说这个冬天就过到这吧#,负面
王冰冰超话搬运DY：月亮姐姐节目录制中，这算是嘉宾宣，视频中有小尼，月亮姐姐，武大靖，徐梦桃，杨帆以及冰冰姐，新节目请大家拭目以待Lsym诗宇末的微博视频,正面
王冰冰超话这个发型不错捏,正面
王冰冰超话好像是去年6月我住过的酒店诶,负面
王冰冰超话感觉冰冰就坐在我面前,负面
王冰冰超话好美（水一帖）图片来源：douyin@北岛,正面
王冰冰超话午安,正面
#王冰冰你的童年是哪首歌曲#月亮姐姐#绿泡泡#综艺#明星#娱乐播报台#怀旧#歌曲#小邋遢#微博VC计划#L娱乐兜兜风的微博视频,负面
#王冰冰#马凡舒梦幻联动!是美女姐姐!#央young之夏#我的心是冰冰的#央视#主持人#娱乐播报台#微博VC计划#L娱乐兜兜风的微博视频,负面
#王冰冰#马凡舒#月亮姐姐你的童年是哪一首歌呢#娱乐播报台#主持人#央young之夏#舞台#综艺#快乐源泉#歌曲#娱乐#快乐源泉##微博VC计划#L娱乐兜兜风的微博视频,正面
王冰冰超话国之大雅·清明赶在明天新的节气出来之前发一组“古里古气”的库存@吃花椒的喵酱,正面
王冰冰超话北京之旅圆满结束，期待下次再来！晚安大家，晚安冰冰,负面
王冰冰超话看到之前这张，突然觉得太丑了，我本来是想用灰暗衬托洁白，结果好像看起来特别脏乱，一怒之下给它重启了，灰暗变成了黑暗，洁白变成了明亮，白得它乌漆麻黑，白得它锃光瓦亮！你们看白不白？当时画那些石头还画了好久。,负面
王冰冰超话大雅预告03第一张图是原图去水印第二张图是自己调色晚安,负面
王冰冰超话氵氺水,负面
王冰冰超话嘿嘿嘿，冰冰都给我加油了，那我上锁就一定不会零速摔,负面
王冰冰这个发型真的好适合方圆脸姐妹啊😭,正面
王冰冰超话大家晚好，再来一张,负面
王冰冰超话看起来玩得好开心呦,正面
王冰冰超话今日水√一张壁纸,负面
王冰冰超话#延安新区马拉松火热开赛#@惠文化,正面
王冰冰超话虽迟但到～,负面
周深真的好有梗2024央视春晚周深王冰冰桃姨母的磕糖基地#周深#周深超话#综艺节目#L电影解密师的微博视频,正面
王冰冰超话#王冰冰#冰冰的毛衣＋牛仔裤真显身材！,正面
看到徐嘉余夺冠仿佛又回到22年夏天坐在自习室大吃特吃他和王冰冰瓜的日子。。世界纷纷扰扰，到现在他还是国内男仰第一人，有时候确实是不知道该说什么,正面
姐姐，王冰冰姐姐,正面
#清纯##气质##女神##王冰冰##小姐姐##萌萌#,正面
王冰冰超话。,负面
王冰冰超话早上好,负面
冰冰上海逛展找“智能生活搭子”，本人也太瘦了，按摩腰带在她腰上能绕两圈！！！#王冰冰上海探展被原地种草#微博VC计划#L娱乐兜兜屋的微博视频,负面
杨紫王冰冰同框杨紫王冰冰两位小姐姐梦幻同框了～有喜欢她们的吗？🤩.#优质博文上热搜开放计划#L一个小萝卜88的微博视频,负面
王冰冰超话#王冰冰#快乐的方式有很多种最直接的就是见到你@吃花椒的喵酱,正面
姐姐，王冰冰姐姐,正面
王冰冰超话“你尽管往前走，能够追上你固然好。就算追不上，那些因为你而努力想要成为更好的人的日子也已经是馈赠了。”“谢谢你带来的光。”@吃花蜜的喵酱,正面
王冰冰超话大家下午好,负面
哎呦，不错哦！我在王冰冰超话荣升LV.10等级，获得了冰心一片头衔！想和我一样晋级么？~想知道就来王冰冰超话跟我聊聊吧~,正面
恭喜#王冰冰喜提500w粉丝，姐姐太优秀啦，小湖的心是冰冰的~#微博VC计划#L常炳禄的微博视频,正面
王冰冰超话今天拔河第一轮轮空，第二轮两败直接下去了,负面
王冰冰超话很像啊(ಡωಡ)前面有多开心后面就有多狼狈晚安٩('ω')و,正面
王冰冰超话如果你突然打了个喷嚏那一定就是我在想你如果星期四被手机吵醒啊那是因为我想吃肯德基常常想起肯德基的黄金脆皮鸡明明很想吃鸡却又忍不住怀疑……,负面
王冰冰超话晚安💤我的宝宝@吃花蜜的喵酱,正面
王冰冰超话第一次去柬埔寨的时候惊呆了，从来没有在一个国家见到这么多柬埔寨人。晚安冰冰晚安各位小伙伴,正面
王冰冰超话@吃花椒的喵酱阳光开朗大冰孩，阳光开朗大冰孩头围八六又如何，我才不是你老婆阳光开朗大冰孩，阳光开朗大冰孩不愧是我冰冰王，你冰是胖头霸王,正面
